raceId,year,round,date,name,circuitRef,country,driverRef,code,constructorRef,grid,positionOrder,points,laps,statusId,milliseconds,rank,fastestLapSpeed
324,1990,4,1990-05-27,Monaco Grand Prix,monaco,Monaco,grouillard,\N,osella,0,28,0.0,0,81,\N,\N,\N
376,1988,5,1988-06-12,Canadian Grand Prix,villeneuve,Canada,mansell,\N,williams,9,21,0.0,28,5,\N,\N,\N
31,2008,14,2008-09-14,Italian Grand Prix,monza,Italy,fisichella,FIS,force_india,12,20,0.0,11,3,\N,20,214.326
241,1995,2,1995-04-09,Argentine Grand Prix,galvez,Argentina,badoer,BAD,minardi,13,26,0.0,0,4,\N,\N,\N
455,1983,4,1983-05-01,San Marino Grand Prix,imola,Italy,piquet,\N,brabham,2,16,0.0,41,5,\N,\N,\N
719,1963,1,1963-05-26,Monaco Grand Prix,monaco,Monaco,mairesse,\N,ferrari,7,11,0.0,37,6,\N,\N,\N
839,1950,7,1950-09-03,Italian Grand Prix,monza,Italy,farina,\N,alfa,3,1,8.0,80,1,10277400,\N,\N
743,1961,6,1961-08-06,German Grand Prix,nurburgring,Germany,trips,\N,ferrari,5,2,6.0,15,1,8313800,\N,\N
537,1978,11,1978-07-30,German Grand Prix,hockenheimring,Germany,mario_andretti,\N,team_lotus,1,1,9.0,45,1,5280900,\N,\N
670,1968,4,1968-06-09,Belgian Grand Prix,spa,Belgium,amon,\N,ferrari,1,12,0.0,8,21,\N,\N,\N
582,1975,7,1975-06-08,Swedish Grand Prix,anderstorp,Sweden,palm,\N,hesketh,21,10,0.0,78,60,\N,\N,\N
217,1997,11,1997-08-10,Hungarian Grand Prix,hungaroring,Hungary,coulthard,COU,mclaren,8,14,0.0,65,10,\N,\N,\N
1099,2023,2,2023-03-19,Saudi Arabian Grand Prix,jeddah,Saudi Arabia,max_verstappen,VER,red_bull,15,2,19.0,50,1,4880249,1,241.838
534,1978,8,1978-06-17,Swedish Grand Prix,anderstorp,Sweden,emerson_fittipaldi,\N,fittipaldi,13,6,1.0,69,11,\N,\N,\N
397,1987,10,1987-08-16,Austrian Grand Prix,red_bull_ring,Austria,brundle,\N,zakspeed,17,15,0.0,48,2,\N,\N,\N
377,1988,6,1988-06-19,Detroit Grand Prix,detroit,USA,caffi,\N,dallara,21,8,0.0,61,12,\N,\N,\N
154,2001,14,2001-09-02,Belgian Grand Prix,spa,Belgium,villeneuve,VIL,bar,6,8,0.0,36,1,4149972,\N,\N
800,1954,2,1954-05-31,Indianapolis 500,indianapolis,USA,nazaruk,\N,kurtis_kraft,14,5,2.0,200,1,13961820,\N,\N
19,2008,2,2008-03-23,Malaysian Grand Prix,sepang,Malaysia,rosberg,ROS,williams,16,14,0.0,55,11,\N,13,206.182
197,1998,7,1998-06-07,Canadian Grand Prix,villeneuve,Canada,nakano,\N,minardi,18,7,0.0,68,11,\N,\N,\N
1043,2020,13,2020-11-01,Emilia Romagna Grand Prix,imola,Italy,kevin_magnussen,MAG,haas,17,18,0.0,47,139,\N,18,222.930
752,1960,7,1960-07-16,British Grand Prix,silverstone,UK,brooks,\N,cooper-climax,9,5,2.0,76,11,\N,\N,\N
341,2010,5,2010-05-09,Spanish Grand Prix,catalunya,Spain,button,BUT,mclaren,5,5,10.0,66,1,5807829,4,196.768
